N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,한국타이어앤테크놀로지,"48,750",150,-0.31%,500,"60,389","123,875",41.69,"111,415",13.43,5.12,
60,에스디바이오센서,"55,300",500,-0.90%,500,"57,109","103,271",1.78,"467,721",8.38,139.97,
61,미래에셋증권,"8,970",130,-1.43%,"5,000","56,988","635,316",13.99,"789,521",7.15,8.94,
62,강원랜드,"26,050",100,-0.38%,500,"55,732","213,940",18.86,"181,853",-34.69,-7.92,
63,현대중공업지주,"68,800",400,-0.58%,"1,000","54,347","78,993",17.25,"98,696",-24.03,-8.12,
64,LG이노텍,"229,500",0,0.00%,"5,000","54,316","23,667",31.09,"135,993",13.35,10.20,
65,한국금융지주,"96,100","1,000",-1.03%,"5,000","53,553","55,726",34.32,"177,995",4.29,16.27,
66,한미사이언스,"72,200","1,800",-2.43%,500,"48,594","67,305",1.68,"76,043",175.67,3.47,
67,아모레G,"57,500",200,-0.35%,500,"47,413","82,458",17.45,"76,538",112.75,0.31,
68,이마트,"168,500","2,000",-1.17%,"5,000","46,971","27,876",33.39,"83,548",11.62,4.05,
69,오리온,"118,000","1,000",-0.84%,500,"46,653","39,536",38.78,"32,327",17.53,15.50,
70,F&F,"602,000","1,000",+0.17%,500,"46,122","7,661",10.08,"6,657",N/A,N/A,
71,맥쿼리인프라,"12,350",50,+0.41%,0,"45,966","372,192",15.43,"221,355",N/A,N/A,
72,삼성엔지니어링,"23,350",600,-2.51%,"5,000","45,766","196,000",30.87,"1,535,593",15.75,17.32,
73,두산밥캣,"45,600",800,+1.79%,500,"45,714","100,249",26.06,"174,742",13.88,6.15,
74,한진칼,"64,700","2,200",-3.29%,"2,500","43,180","66,739",14.97,"70,181",-52.69,-19.55,
75,유한양행,"61,600",900,-1.44%,"1,000","43,103","69,973",17.81,"78,978",44.93,11.06,
76,삼성중공업,"6,540",0,0.00%,"5,000","41,202","630,000",13.79,0,-2.30,-33.06,
77,KODEX 200,"42,550",460,-1.07%,0,"41,188","96,800",1.88,"1,638,613",N/A,N/A,
78,팬오션,"7,590",50,-0.65%,"1,000","40,574","534,570",10.49,"2,006,778",32.30,3.25,
79,삼성카드,"34,900",0,0.00%,"5,000","40,435","115,859",8.35,"89,498",9.51,5.69,
80,CJ대한통운,"176,500","3,500",-1.94%,"5,000","40,264","22,812",23.16,"15,673",33.54,3.89,
81,GS,"43,250",600,-1.37%,"5,000","40,186","92,915",19.31,"73,162",6.35,-2.82,
82,쌍용C&E,"7,960",70,-0.87%,100,"40,107","503,860",3.52,"392,989",29.05,7.92,
83,DB손해보험,"56,300",500,-0.88%,500,"39,860","70,800",43.33,"47,038",6.43,9.08,
84,롯데지주,"37,700",400,-1.05%,200,"39,551","104,909",8.53,"67,612",-92.63,-3.03,
85,삼성증권,"44,150",100,-0.23%,"5,000","39,426","89,300",28.25,"146,910",5.05,9.89,
86,한미약품,"323,500","5,000",-1.52%,"2,500","39,073","12,078",13.07,"17,899",166.50,1.65,
87,효성티앤씨,"886,000","30,000",-3.28%,"5,000","38,343","4,328",22.77,"41,104",14.96,25.10,
88,현대차2우B,"104,500","1,000",-0.95%,"5,000","38,127","36,485",61.03,"31,224",12.65,N/A,
89,GS건설,"44,100",950,-2.11%,"5,000","37,741","85,581",26.25,"471,184",10.60,7.68,
90,일진머티리얼즈,"80,500",500,-0.62%,500,"37,119","46,111",9.99,"177,847",92.32,7.23,
91,GS리테일,"35,350",300,-0.84%,"1,000","37,018","104,718",12.78,"111,804",18.17,7.50,
92,호텔신라,"93,600",800,-0.85%,"5,000","36,736","39,248",18.96,"115,656",-17.71,-36.74,
93,NH투자증권,"12,700",100,-0.78%,"5,000","35,739","281,409",17.86,"301,312",4.75,10.32,
94,현대오토에버,"129,000","1,000",-0.77%,500,"35,377","27,424",1.36,"42,440",45.97,11.09,
95,대우조선해양,"32,650",800,-2.39%,"5,000","35,030","107,291",7.19,"111,143",-8.96,2.27,
96,씨에스윈드,"82,400","1,500",-1.79%,500,"34,749","42,171",10.67,"169,389",66.40,8.19,
97,녹십자,"291,500","7,000",-2.35%,"5,000","34,066","11,687",20.71,"23,287",34.02,7.48,
98,메리츠증권,"4,950",50,-1.00%,"1,000","33,746","681,731",13.95,"737,302",5.47,13.08,
99,신풍제약,"63,600","1,500",-2.30%,500,"33,698","52,985",8.78,"403,766",739.53,1.72,
100,현대미포조선,"84,200","1,100",-1.29%,"5,000","33,631","39,942",10.15,"120,405",-102.81,-0.84,
101,메리츠금융지주,"24,900",200,+0.81%,500,"33,369","134,011",8.07,"145,888",5.83,16.06,
102,한국가스공사,"36,050",450,-1.23%,"5,000","33,279","92,313",6.22,"135,683",-16.96,-2.24,
103,두산퓨얼셀,"49,150",650,-1.31%,100,"32,190","65,494",11.97,"285,500",277.68,4.18,
104,한화시스템,"17,000",100,+0.59%,"5,000","32,116","188,919",2.44,"793,224",19.45,9.35,
105,휠라홀딩스,"52,400",100,+0.19%,"1,000","31,834","60,752",46.29,"90,573",16.72,10.94,
106,포스코인터내셔널,"25,650",850,-3.21%,"5,000","31,646","123,375",13.16,"646,124",12.24,7.69,
107,한국항공우주,"32,350","1,250",-3.72%,"5,000","31,533","97,475",13.81,"723,428",409.49,6.39,
108,KCC,"353,500","1,500",+0.43%,"5,000","31,414","8,886",11.61,"67,677",3.65,12.79,
109,키움증권,"117,500","2,000",-1.67%,"5,000","30,785","26,200",23.29,"38,168",3.14,27.63,
110,롯데쇼핑,"108,500","1,500",-1.36%,"5,000","30,693","28,289",10.42,"29,668",-4.07,-7.70,
111,에스원,"80,700",700,-0.86%,500,"30,665","37,999",53.88,"38,014",20.52,10.48,
112,한솔케미칼,"268,500",500,+0.19%,"5,000","30,435","11,335",42.03,"27,686",23.47,24.50,
113,대우건설,"7,320",110,-1.48%,"5,000","30,424","415,623",9.84,"1,151,133",8.22,11.06,
114,동서,"30,150",400,-1.31%,500,"30,060","99,700",3.45,"50,892",26.29,8.61,
115,메리츠화재,"24,850",100,-0.40%,500,"29,975","120,625",10.87,"305,586",6.29,16.91,
116,한화생명,"3,385",60,-1.74%,"5,000","29,400","868,530",7.22,"1,795,204",6.28,1.90,
117,LG화학우,"382,000","3,000",+0.79%,"5,000","29,371","7,689",66.98,"21,094",16.63,N/A,
118,CJ,"99,700",800,-0.80%,"5,000","29,089","29,177",17.73,"46,886",-263.06,1.89,
119,만도,"61,200","1,200",-1.92%,"1,000","28,738","46,957",23.76,"129,273",61.76,0.37,
120,한샘,"120,500","2,500",-2.03%,"1,000","28,358","23,534",19.74,"58,266",38.66,10.83,
121,BGF리테일,"162,000","1,500",-0.92%,"1,000","28,000","17,284",32.32,"15,881",22.12,18.60,
